Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.1726,-0.0011902,0.37074,0,0,0,17.285,0.88736,-9.7406E-10,-0.0042126,0.90938,1.6278E-09,0.076259,0,0,0,0,0,0,package://astra_description/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://astra_description/meshes/base_link.STL,,Astra_Link0-1,BaseCord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_r1,0.027157,-3.0871E-12,-1.5958E-11,0,0,0,0.70739,0.00060081,6.2989E-14,-1.3373E-13,0.00042262,1.4866E-09,0.0002763,0,0,0,0,0,0,package://astra_description/meshes/link_r1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://astra_description/meshes/link_r1.STL,,Link1^Astra-1,LinkR1Cord,JointR1,joint_r1,prismatic,-0.0405,-0.065,0.227,0,0,-1.5708,base_link,0,0,1,0,0,0,1.2,,,,,,,,
base_right,0,0,0,0,0,0,1.0,0.01,0,0,0.01,0,0.01,0,0,0,0,0,0,package://astra_description/meshes/Base.STL,1.0,0.82,0.12,1.0,0,0,0,0,0,0,package://astra_description/meshes/Base.STL,3d_printed,BaseRight^Astra-1,BaseRightCord,JointR1ToBaseRight,joint_r1_to_base_right,fixed,0.068,0,0,0,0,3.14159,link_r1,0,0,0,,,,,,,,,,,,
link_r2,-9.07886e-05,0.0590972,0.031089,0,0,0,0.119226,5.94278e-05,0,0,5.89975e-05,0,3.13712e-05,0,0,0,0,0,0,package://astra_description/meshes/Rotation_Pitch.STL,1.0,0.82,0.12,1.0,0,0,0,0,0,0,package://astra_description/meshes/Rotation_Pitch.STL,3d_printed,Link2^Astra-1,LinkR2Cord,JointR2,joint_r2,revolute,0,-0.0452,0.0165,1.57079,0,0,base_right,0,1,0,35,1,-1.57,1.57,,,,,,,,
link_r3,-1.72052e-05,0.0701802,0.00310545,0,0,0,0.162409,0.000213312,0,0,0.000167164,0,7.01522e-05,0,0,0,0,0,0,package://astra_description/meshes/Upper_Arm.STL,1.0,0.82,0.12,1.0,0,0,0,0,0,0,package://astra_description/meshes/Upper_Arm.STL,3d_printed,Link3^Astra-1,LinkR3Cord,JointR3,joint_r3,revolute,0,0.1025,0.0306,-1.8,0,0,link_r2,1,0,0,35,1,-1.57,1.57,,,,,,,,
link_r4,-0.00339604,0.00137796,0.0768007,0,0,0,0.147968,0.000138803,0,0,0.000107748,0,4.84242e-05,0,0,0,0,0,0,package://astra_description/meshes/Lower_Arm.STL,1.0,0.82,0.12,1.0,0,0,0,0,0,0,package://astra_description/meshes/Lower_Arm.STL,3d_printed,Link4^Astra-1,LinkR4Cord,JointR4,joint_r4,revolute,0,0.11257,0.028,1.57079,0,0,link_r3,1,0,0,35,1,-1.57,1.57,,,,,,,,
link_r5,-0.00852653,-0.0352279,-2.34622e-05,0,0,0,0.0661321,3.45403e-05,0,0,2.39041e-05,0,1.94704e-05,0,0,0,0,0,0,package://astra_description/meshes/Wrist_Pitch_Roll.STL,1.0,0.82,0.12,1.0,0,0,0,0,0,0,package://astra_description/meshes/Wrist_Pitch_Roll.STL,3d_printed,Link5^Astra-1,LinkR5Cord,JointR5,joint_r5,revolute,0,0.0052,0.1349,-1,0,0,link_r4,1,0,0,35,1,-1.57,1.57,,,,,,,,
link_r6,0.00552377,-0.0280167,0.000483583,0,0,0,0.0929859,5.03136e-05,0,0,4.64098e-05,0,2.72961e-05,0,0,0,0,0,0,package://astra_description/meshes/Fixed_Jaw.STL,1.0,0.82,0.12,1.0,0,0,0,0,0,0,package://astra_description/meshes/Fixed_Jaw.STL,3d_printed,Link6^Astra-1,LinkR6Cord,JointR6,joint_r6,revolute,0,-0.0601,0,0,1.57079,0,link_r5,0,1,0,35,1,-3.14158,3.14158,,,,,,,,
link_r7r,-0.00161745,-0.0303473,0.000449646,0,0,0,0.0202444,1.11265e-05,0,0,8.99651e-06,0,2.99548e-06,0,0,0,0,0,0,package://astra_description/meshes/Moving_Jaw.STL,1.0,0.82,0.12,1.0,0,0,0,0,0,0,package://astra_description/meshes/Moving_Jaw.STL,3d_printed,Link7R^Astra-2,LinkR7Cord,JointR7,joint_r7r,revolute,-0.0202,-0.0244,0,0,3.14158,0,link_r6,0,0,1,35,1,0,1.57,,,,,,,,
link_l1,0.027157,-4.3066E-13,-6.6736E-12,0,0,0,0.70739,0.00060081,-4.2708E-15,-1.6897E-15,0.00042262,1.4866E-09,0.0002763,0,0,0,0,0,0,package://astra_description/meshes/link_l1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://astra_description/meshes/link_l1.STL,,Link1^Astra-2,LinkL1Cord,JointL1,joint_l1,prismatic,-0.0405,0.065,0.227,0,0,1.5708,base_link,0,0,1,0,0,0,1.2,,,,,,,,
